"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"GC6",,"2006-08-17T00:00:00.000","11:15 AM","D",,,"13",,,,,,,,,,,,,,,,,,,,,,,,"*","*","*","*","*","3.34","2.39","7.5","*","*",,,,,"39","47",,,"28","156","0.282","0.231","0.483","0.505","0.129","0.135","1.16","1.16","1.43","1.37","0.169","0.182","1.8","1.4","0.91","0.91",,,,,,,,,,"23.81","24.39","23.58","23.12",,,,,,,,,,,,,,,"0.1","0.2",,,,"Permanent"
"GC6",,"2006-08-31T00:00:00.000","10:35 AM","W",,,"13",,,,,,,,,,,,,,,,,,,,,,,,"*","*","*","*","*","3.74","2.67","10","*","*",,,,,"171","260",,,"108","162","0.344","0.265","0.47","0.547","0.129","0.142","1.97","1.85","1.64","1.37","0.167","0.189","2.6","5.6","0.65","0.65",,,,,,,,,,"27.34","24.15","22","22.29",,,,,,,,,,,,,,,"0.1","0.1",,,,"Permanent"
"GC6",,"2006-09-14T00:00:00.000","10:55 AM","W",,,"13",,,,,,,,,,,,,,,,,,,,,,,,"*","*","*","*","*","4.2","3.88","3.5","*","*",,,,,"100,000","3,900",,,"91,000","2,400","0.476","0.456","0.965","0.486","0.209","0.127","1.89","0.74","1.96","1.77","0.319","0.179","5.2","5.6",,,,,,,,,,,,"23.93","24.23","20.74","20.74",,,,,,,,,,,,,,,"4.7","5.3",,,,"Permanent"
"GC6",,"2006-09-28T00:00:00.000","11:15 AM","D",,,"15",,,,,,,,,,,,,,,,,,,,,,,,"*","*","*","*","*","6.31","5.63","4","*","*",,,,,"14","47",,,"44","47","0.477","0.466","0.416","0.394","0.12","0.116","1.07","1.14","1.43","1.4","0.2","0.212","4.8","12.4",,,,,,,,,,,,"23.73","23.83","19.83","19.82",,,,,,,,,,,,,,,"0.9","0.9",,,,"Permanent"
"H3",,"2006-10-23T00:00:00.000","5:13 PM","D","16.46","16.53","23","4","22","19.5","19.64","2.62","2.64","5.79","5.74","66.7","66.3",,,"13.77","13.86",,,,,,,,"4.59E+01","5.20E+01","0.1","S","5","NW","1","6.4","6.23","5","7.43","7.44",,,,,"21",,,,"4",,"0.632",,"0.486",,,,"1.06",,"1.35",,"0.113",,"5.75","3.25","1.23",,,,,"2.99",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.829","-73.93417","Permanent"
"H3",,"2006-07-31T00:00:00.000","3:23 PM","D","26.73","26.64","22","4","21","7.92","8.05","1.42","1.44","5.83","5.68","76.3","74.2",,,"2.52","2.64",,,,,,,,"8.75E+01","8.88E+01","0","N","2","SW","1","6.75","6.5","2.5","7.43","7.44",,,,,"110",,,,"6",,"0.499",,"0.129",,"0.086",,"0.97",,"3.93",,"0.132",,"16","21","5.74",,,,,"5.01",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.8295","-73.934","Permanent"
"H3",,"2006-08-21T00:00:00.000","4:57 PM","D","24.39","24.38","19","4","17","23.25","23.19","3.63","3.62","3.95","4","54.1","54.7",,,"14.66","14.6",,,,,,,,"1.71E+02","1.68E+02","1.2","S","7","NW","1","4.79","4.67","3","7.23","7.23",,,,,"6",,,,"10",,"0.396",,"0.414",,"0.157",,"1.41",,"1.58",,"0.196",,"16.5","7.75","2.72",,,,,"3.32",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.82717","-73.93367","Permanent"
"H3",,"2006-08-28T00:00:00.000","3:16 PM","W","23.56","23.54","25","4","28","15.48","15.66","2.47","2.49","4.26","4.19","55","54.1",,,"9.05","9.2",,,,,,,,"5.40E+01","7.45E+01","0","N","0","S","1","4.82","4.78","5","7.26","7.27",,,,,"116",,,,"1,510",,"0.452",,"0.259",,"0.121",,"0.69",,"1.82",,"0.162",,"0.5","2","1.38",,,,,"3.56",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.829","-73.934","Permanent"
"H3",,"2006-08-08T00:00:00.000","4:41 PM","D","23.65","23.57","23","4","16","22.21","22.27","3.43","3.44","5.05","4.82","67.9","64.7",,,"14.08","14.16",,,,,,,,"7.66E+01","8.04E+01","1.4","S","1","N","1","5.8","5.99","5","7.37","7.41",,,,,"43",,,,"2",,"0.259",,"0.323",,"0.106",,"0.71",,"1.25",,"0.155",,"19.5","24","7.72",,,,,"3.89",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.82717","-73.934","Permanent"
"H3",,"2006-09-11T00:00:00.000","3:45 PM","D","21.95","21.93","27","4","27","20.64","20.79","3.1","3.12","4.68","4.69","60.4","60.6",,,"13.36","13.48",,,,,,,,"8.80E+01","9.40E+01","0.5","N","8","NE","1","4.66","4.68","3","7.35","7.38",,,,,"3",,,,"10",,"0.589",,"0.336",,"0.136",,"0.59",,"2.08",,"0.191",,"13.5","7.5","2.6",,,,,"6.07",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.829","-73.93383","Permanent"
"H3",,"2006-09-18T00:00:00.000","1:32 PM","D","21.69","21.67","19","4","18","21.32","21.44","3.18","3.19","4.42","4.36","57.1","56.2",,,"13.94","14.04",,,,,,,,"4.62E+01","5.45E+01","0.5","N","1","W","1","4.69","4.77","4","7.15","7.21",,,,,"6",,,,"1",,"0.65",,"0.478",,"0.152",,"0.71",,"2.01",,"0.198",,"15.25","7.25","1.09",,,,,"3.37",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.82733","-73.9335","Permanent"
"H3",,"2006-09-25T00:00:00.000","3:11 PM","W","21.17","21.14","23","4","28","19.13","19.3","2.85","2.87","5.03","5.02","63.4","63.3",,,"12.41","12.55",,,,,,,,"9.91E+01","1.02E+02","0","N","9","NW","1","5.37","5.4","4","7.18","7.23",,,,,"200",,,,"58",,"0.698",,"0.307",,"0.14",,"1.27",,"1.97",,"0.192",,"9.75","18.75","1.4868",,,,,"3.48",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.829","-73.93383","Permanent"
"H3",,"2006-09-05T00:00:00.000","1:13 PM","D","21.62","21.62","23","5","25","21.14","21.18","3.15","3.16","4.51","4.48","58","57.7",,,"13.82","13.85",,,,,,,,"4.52E+01","5.28E+01","0.6","N","0","0","1","5.4","5.36","5","7.3","7.33",,,,,"56",,,,"20",,"0.513",,"0.456",,"0.152",,"1.88",,"2.02",,"0.194",,"6.25","4.5","1.7",,,,,"3.16",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.82883","-73.934","Permanent"
"J1",,"2007-01-23T00:00:00.000","12:18 PM","D","5.27","7.73","37","5","33","28.73","31.22","2.82","3.25","11.76","11.56","112.1","118.8",,,"22.68","24.35",,,,,,,,,,"0.7","W","18","W","1","11.04","8.67","8","7.89","7.88",,,,,"17",,,,"1",,"0.298",,"0.188",,"0.048",,"0.594",,"0.608",,"0.078",,"7.5","17","10.6",,,,,"QD",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57377","-73.8841","Permanent"
"J1",,"2006-10-24T00:00:00.000","12:00 PM","D","13.64","14.43","39","6","37","27.31","28.74","3.33","3.55","7.66","6.99","87.4","81.8",,,"20.33","21.27",,,,,,,,"3.03E+01","3.60E+01","1.5","W","22","NW","3","8.44","7.37","6","6.32","7.82",,,,,"2",,,,"1",,"0.43",,"0.406",,,,"1.45",,"1.24",,"0.142",,"2.25","3.25","9.9",,,,,"2.71",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57333","-73.88417","Permanent"
"J1",,"2004-05-11T00:00:00.000","12:35 PM","W","12.76","12.49","32","6","34","26.64","26.83","3.19","3.19","6.02","7.41","67.18","82.32",,,"19.97","20.17",,,,,,,,,,"1.2","E","LT&VAR","LT&VAR","1","9.59","9.53","10","7.86","7.95",,,,,"2",,,,"2",,"0.157",,"0.282",,"0.069",,"0.79",,"0.8",,"0.104",,"3.2","4.4","3.8",,"2.64",,,"2.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Permanent"
"J1",,"2007-06-12T00:00:00.000","12:21 PM","W","21.96","21","32","4","29","26.29","27.03","3.86","3.88","6.54","5.58","87.2","73.5",,,"17.62","18.44","22.81","11.12",,,"1083.91","46","0",,,"0.2","E","10","N","1","8.06","6.96","4","7.86","7.81",,,,,"176",,,,"4",,"0.116",,"0.136",,"0.118",,"1.19",,"0.693",,"0.202",,"7.2","6.5","28.9",,,,,"3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57333","-73.88483","Permanent"
"J1",,"2007-06-19T00:00:00.000","12:19 PM","D","20.2","19.14","36","4","35","29.17","30.29","4.09","4.13","5.53","6.06","72.6","78.5",,,"20.27","21.39","2.24","2.37",,,"1916","198","6",,,"0","S","14","S","1","6.89","7.45","10","7.76","7.83",,,,,"4",,,,"1",,"0.064",,"0.175",,"0.062",,"0.503",,"0.66",,"0.094",,"9.2","9.5","2.5",,,,,"3.3",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5735","-73.884","Permanent"
"J1",,"2007-06-26T00:00:00.000","12:00 PM","D","22.13","19.85","32","5","34","27.66","28.37","4.06","3.96","6.52","5.4","88","70",,,"18.61","19.75","37.38","7.65",,,"1749","35","0",,,"0.4","E","6","S","1","9.47","6.89","4","8.06","7.82",,,,,"3",,,,"1",,"0.126",,"0.078",,"0.105",,"1.68",,"0.462",,"0.203",,"9.7","12","37.1",,,,,"4.1",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5735","-73.884667","Permanent"
"J1",,"2007-06-05T00:00:00.000","11:54 AM","W","17.8","17.51","37","4","35","28.3","29.02","3.78","3.84","4.83","4.96","60.3","61.9",,,"20.19","20.81","2.05","1.4",,,,,,,,"0.5","E","8","W","1","5.83","6.07","10","7.74","7.81",,,,,"34",,,,"1",,"0.053",,"0.152",,"0.06",,"1.59",,"0.59",,"0.085",,"13","11.5","1.5",,,,,"2.7",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57333","-73.88483","Permanent"
"J1",,"2007-07-10T00:00:00.000","12:15 PM","D","22.69","21.39","33","4","29","27.96","28.55","4.15","4.11","7.94","7.38","108.4","98.7",,,"18.69","19.49","29.31","28.85",,,"1163","147","0",,,"1","E","14","S","1","9.88","9.05","5","8.04","7.98",,,,,"2",,,,"1",,"0.064",,"0.04",,"0.085",,"1.65",,"0.79",,"0.19",,"11","15.5","32.4",,,,,"3.4",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5735","-73.885","Permanent"
"J1",,"2007-07-25T00:00:00.000","12:25 PM","W","22.97","22.21","30","4","27","27.36","28.12","4.09","4.13","5.23","3.92","71.6","53.1",,,"18.16","18.94","12.21","3.99",,,"1877","195","1","1.53E+02","1.53E+02","0.1","E","6","E","1","6.8","5.32","7","7.56","7.5",,,,,"6",,,,"2",,"0.114",,"0.256",,"0.13",,"1.16",,"0.714",,"0.235",,"6.6","13","12.2",,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.574","-73.88417","Permanent"
"J1",,"2007-07-31T00:00:00.000","11:55 AM","D","24.87","23.42","35","4","33","28.09","29.43","4.35","4.41","4.18","4.53","59.4","63.2",,,"18.16","19.6",,,,,"1146","39","0","6.43E+01","6.30E+01","1.7","W","6","SE","1","6.05","6.06","7.5","7.61","7.7",,,,,"7",,,,"1",,"0.092",,"0.26",,"0.102",,"1.04",,"0.676",,"0.132",,"10.5","9.5","1.3",,,,,"3.4",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57333","-73.8845","Permanent"
"J1",,"2006-08-01T00:00:00.000","11:14 AM","D","23.22","23.07","35","4","34","27.67","27.91","4.15","4.17","6.12","5.37","84.2","73.8",,,"18.32","18.55",,,,,,,,"8.91E+01","9.15E+01","1.3","E","7","W","1","6.99","6.6","6","8.32","8.34",,,,,"7",,,,"1",,"0.074",,"0.153",,"0.067",,"1.15",,"0.34",,"0.134",,"12.25","0.75","19.95",,,,,"3.21",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5735","-73.88467","Permanent"
"J1",,"2006-08-22T00:00:00.000","12:31 PM","D","24.77","24.15","29","4","26","28.1","28.49","4.34","4.34","5.33","4.99","75.6","70.1",,,"18.2","18.7",,,,,,,,"4.64E+01","5.41E+01","0",,"10","SLY","CALM","4.58","4.98","4","7.79","7.79",,,,,"1",,,,"1",,"0.124",,"0.265",,"0.087",,"1.2",,"0.65",,"0.171",,"4.25","0.75","18.49",,,,,"4.61",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57383","-73.88333","Permanent"
"J1",,"2006-08-29T00:00:00.000","11:34 AM","W","22.2","22.34","36","5","32","28.81","29.58","4.22","4.33","4.78","4.79","65","65.6",,,"19.47","20.01",,,,,,,,"7.66E+01","8.12E+01","0","E","10","S","1","5.44","5.64","7","7.69","7.75",,,,,"38",,,,"4",,"0.091",,"0.325",,"0.071",,"0.82",,"0.59",,"0.112",,"4.75","3.5","3.3",,,,,"2.51",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57383","-73.88383","Permanent"
"J1",,"2006-08-09T00:00:00.000","12:05 PM","D","25.13","24.07","32","4","32","27.86","29.35","4.34","4.45","6.07","5.55","86.5","78.3",,,"17.91","19.35",,,,,,,,"4.36E+01","5.04E+01","0.7","W","9","S","1","7.13","6.58","4","7.81","7.82",,,,,"1",,,,"1",,"0.048",,"0.119",,"0.082",,"1.82",,"0.33",,"0.2",,"4.5","1","35.76",,,,,"4.14",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5735","-73.884","Permanent"
"J1",,"2006-09-12T00:00:00.000","11:34 AM","D","19.98","19.91","39","5","35","29.32","29.47","4.09","4.1","6.89","7.35","90.3","96.2",,,"20.44","20.57",,,,,,,,"5.97E+01","7.66E+01","1.8","E","8","SE","1","7.35","7.59","8","7.83","7.93",,,,,"1",,,,"1",,"0.099",,"0.148",,"0.038",,"0.19",,"0.51",,"0.084",,"2.5","8.5","8.3",,,,,"2.22",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57333","-73.88467","Permanent"
"J1",,"2006-09-19T00:00:00.000","11:58 AM","D","21.61","21.27","33","4","28","26.94","27.02","3.92","3.9","8.11","7.26","107.9","96.1",,,"18.21","18.36",,,,,,,,"7.54E+01","7.89E+01","1","NW","9","SW","1","8.19","7.53","3.5","7.83","7.81",,,,,"12",,,,"1",,"0.364",,"0.568",,"0.108",,"0.83",,"1.3",,"0.19",,"8.75","1.5","30.08",,,,,"4.07",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5735","-73.88433","Permanent"
"J1",,"2006-09-26T00:00:00.000","11:45 AM","D","19.64","19.06","37","4","34","28.53","29.86","3.96","4.07","7.15","5.92","92.6","76.5",,,"19.92","21.08",,,,,,,,"3.75E+01","5.32E+01","0","E","7","W","1","7.44","6.62","8","7.75","7.79",,,,,"1",,,,"1",,"0.227",,"0.262",,"0.066",,"0.669",,"0.572",,"0.115",,"2.2","7.5","19.3434",,,,,"2.86",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5735","-73.88433","Permanent"
"J1",,"2006-09-06T00:00:00.000","12:12 PM","W","20.53","20.44","33","5","30","27.15","27.3","3.86","3.87","6.04","5.66","78.8","73.9",,,"18.65","18.78",,,,,,,,"5.04E+01","5.90E+01","1","W","3","W","1","*","6.22","6","7.58","7.61",,,,,"400",,,,"2",,"0.286",,"0.852",,"0.132",,"1.69",,"1.57",,"0.202",,"1.75","6.75","12.22",,,,,"3.74",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.57367","-73.884","Permanent"
"J11",,"2007-01-23T00:00:00.000","11:36 AM","D","5.7","6.2","25","4","21","29.14","29.77","2.89","2.99","11.05","11.71","106.8","114.9",,,"22.96","23.4",,,,,,,,,,"0.3","S","12","N","1","7.04","7.21","8","7.79","7.82",,,,,"212",,,,"6",,"0.226",,"0.146",,"0.043",,"0.537",,"0.833",,"0.064",,"9","3.7","7",,,,,"QD",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58172","-73.93158","Permanent"
"J11",,"2006-10-24T00:00:00.000","11:34 AM","D","14.3","14.15","23","5","22","27.98","28.33","3.45","3.48","6.94","6.93","80.6","80.5",,,"20.71","21.01",,,,,,,,"5.12E+01","5.45E+01","0.8","E","16","NW","1","7.76","7.55","6","7.58","7.18",,,,,"564",,,,"27",,"0.29",,"0.26",,,,"1",,"1.02",,"0.108",,"4.75","5.75","7.22",,,,,"2.35",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58167","-73.9315","Permanent"
"J11",,"2007-06-12T00:00:00.000","11:37 AM","W","20.2","19.22","18","5","17","28.06","28.43","3.95","3.91","8.09","3.8","105.4","48.7",,,"19.42","19.95","18.26","6.85",,,"1902.05","128","4",,,"0.3","S","8","NE","1","6.79","6.26","5","7.7","7.6",,,,,"152",,,,"26",,"0.048",,"0.148",,"0.06",,"1.36",,"0.634",,"0.116",,"11","8.5","25",,,,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5815","-73.93133","Permanent"
"J11",,"2007-06-19T00:00:00.000","11:35 AM","D","21.69","20.41","23","5","21","28.78","29.15","4.17","4.1","9.71","5.12","130.6","67.5",,,"19.58","20.2","26.3","6.87",,,"1936","121","4",,,"0.8","NW","11","SE","1","8.69","7.86","3.5","7.81","7.77",,,,,"30",,,,"1",,"0.056",,"0.108",,"0.046",,"0.498",,"0.57",,"0.114",,"14","11.5","19.1",,,,,"2.5",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.582","-73.9315","Permanent"
"J11",,"2007-06-26T00:00:00.000","11:21 AM","D","20.91","19.15","18","4","17","28.49","28.72","4.06","3.94","8.82","4.94","116.9","63.5",,,"19.57","20.19","59.44","5.49",,,"1869","167","6",,,"0","LW SLK","3","W","1","7.85","7.87","3.5","7.73","7.72",,,,,"136",,,,"4",,"0.083",,"0.129",,"0.07",,"1.44",,"1.02",,"0.135",,"11.5","11.7","21.7",,,,,"3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58183","-73.93133","Permanent"
"J11",,"2007-06-05T00:00:00.000","11:14 AM","W","18.65","17.48","23","5","20","28.04","28.68","3.82","3.8","5.71","4.59","72.3","57.1",,,"19.79","20.56","3.51","5.7",,,,,,,,"SLK","SLK","5","W","1","6.79","6.39","8","7.79","7.81",,,,,"156",,,,"2",,"0.054",,"0.13",,"0.066",,"1.35",,"0.647",,"0.106",,"7.7","5.5","5.9",,,,,"3.2",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58167","-73.9315","Permanent"
"J11",,"2007-07-10T00:00:00.000","11:32 AM","D","21.97","19.18","19","5","18","28.93","29.74","4.21","4.07","9.02","5.1","122.3","65.9",,,"19.62","20.96","35.98","8.91",,,"1960","118","2",,,"0.6","N","4","S","1","10.93","8.33","4","8.06","7.86",,,,,"148",,,,"11",,"0.017",,"0.024",,"0.044",,"1.92",,"0.78",,"0.158",,"12","5.5","42.1",,,,,"3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58183","-73.9315","Permanent"
"J11",,"2007-07-25T00:00:00.000","11:48 AM","W","23.45","21.96","19","4","19","28.31","29.38","4.26","4.27","7.11","3.45","98.6","46.8",,,"18.74","19.97","14.73","8.89",,,"1824","194","10","2.05E+02","2.06E+02","0.7","NW","7","SE","1","7.32","7.56","5","7.61","7.63",,,,,"9",,,,"4",,"0.117",,"0.18",,"0.076",,"0.84",,"0.62",,"0.16",,"7.9","10.2","22.2",,,,,"3.5",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.582","-73.9315","Permanent"
"J11",,"2007-07-31T00:00:00.000","11:17 AM","D","23.82","23.31","22","5","21","28.95","29.33","4.38","4.38","5.61","4.16","78.6","57.8",,,"19.12","19.55",,,,,"1816","123","4","1.27E+02","1.25E+02","0.5","SW","11","E","1","5.74","5.6","6","7.63","7.67",,,,,"58",,,,"11",,"0.088",,"0.194",,"0.066",,"0.946",,"0.458",,"0.123",,"10.7","12.2","3.2",,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58167","-73.9315","Permanent"
"J11",,"2006-08-01T00:00:00.000","10:57 AM","D","25.65","23.65","21","4","20","27.43","28.06","4.32","4.24","11.13","5.33","159.7","74",,,"17.44","18.49",,,,,,,,"6.01E+01","6.88E+01","0.7","NW","6","W","1","10.9","8.18","4.5","8.61","8.49",,,,,"801",,,,"5",,"0.038",,"0.044",,"0.047",,"1.14",,"0.3",,"0.165",,"11.75","3.25","58.56",,,,,"3.14",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58183","-73.93133","Permanent"
"J11",,"2006-08-22T00:00:00.000","11:47 AM","D","24.17","22.99","20","4","19","28.92","29.22","4.4","4.34","8.58","5.7","121","78.7",,,"19","19.6",,,,,,,,"9.85E+01","1.03E+02","0.6",,"7","SLY","CALM","4.74","3.15","6","8.02","8.02",,,,,"70",,,,"10",,"0.061",,"0.093",,"0.036",,"0.8",,"0.25",,"0.105",,"10.5","10","29.04",,,,,"3.66",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58167","-73.93133","Permanent"
"J11",,"2006-08-29T00:00:00.000","11:16 AM","W","22.14","21.89","23","5","23","28.74","29.27","4.2","4.25","4.86","3.29","66","44.6",,,"19.43","19.9",,,,,,,,"1.29E+02","1.29E+02","0.5","N","11","E","1","5.27","5","8","7.66","7.66",,,,,"57",,,,"6",,"0.103",,"0.35",,"0.075",,"0.83",,"0.74",,"0.118",,"0.75","2.5","5.62",,,,,"2.82",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.5815","-73.9315","Permanent"
"J11",,"2006-08-09T00:00:00.000","11:41 AM","D","24.19","23.21","19","4","19","28.73","29.25","4.38","4.36","7.21","5.47","101.6","75.9",,,"18.85","19.52",,,,,,,,"3.02E+01","4.65E+01","0.5","N","5","SSE","1","6.99","6.96","6","7.79","7.81",,,,,"32",,,,"2",,"0.036",,"0.068",,"0.048",,"1.32",,"0.25",,"0.144",,"35.25","8","33.68",,,,,"3.25",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58167","-73.93133","Permanent"
"J11",,"2006-09-12T00:00:00.000","11:17 AM","D","20.09","19.87","25","5","23","28.97","29.09","4.05","4.05","7.04","6.37","92.2","83.1",,,"20.15","20.3",,,,,,,,"6.71E+01","7.74E+01","1.9","W","11","SE","1","7.52","7.24","5.5","7.74","7.77",,,,,"10",,,,"4",,"0.14",,"0.198",,"0.046",,"2",,"0.73",,"0.094",,"7.25","9.5","12.08",,,,,"2.33",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58167","-73.9315","Permanent"
"J11",,"2006-09-19T00:00:00.000","11:23 AM","D","21.99","21.16","20","5","17","26.53","27.35","3.9","3.94","11.58","6.19","154.5","81.8",,,"17.8","18.64",,,,,,,,"5.27E+01","6.09E+01","0.8","NW","7","S","1","10.73","9.16","3.5","7.99","7.86",,,,,"644",,,,"25",,"0.264",,"0.118",,"0.024",,"0.49",,"0.67",,"0.11",,"9.75","10.5","41.41",,,,,"4.59",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.582","-73.93133","Permanent"
"J11",,"2006-09-26T00:00:00.000","11:27 AM","D","19.43","19.27","23","5","18","28.05","28.43","3.88","3.92","7.59","6.55","97.6","84.2",,,"19.61","19.94",,,,,,,,"4.30E+01","5.48E+01","0","E","6","W","1","7.42","7.11","8","7.74","7.25",,,,,"56",,,,"1",,"0.226",,"0.195",,"0.056",,"0.794",,"0.67",,"0.104",,"5.5","7.7","14.1728",,,,,"2.64",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58167","-73.9315","Permanent"
"J11",,"2006-09-06T00:00:00.000","11:52 AM","W","20.6","20.29","19","4","14","27.6","28.18","3.92","3.97","6.05","5.16","79.3","67.5",,,"18.98","19.5",,,,,,,,"5.62E+01","6.16E+01","0","NE","4","SW","1","6.43","6.53","5.5","7.65","7.64",,,,,"180",,,,"48",,"0.173",,"0.436",,"0.074",,"0.54",,"1.07",,"0.126",,"0.5","2.75","10.74",,,,,"2.56",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.58167","-73.93133","Permanent"
"J12",,"2007-01-23T00:00:00.000","1:41 PM","D","3.09","2.91","38","3","37","25.07","25.95","2.34","2.41","13.55","13.55","119.4","119.6",,,"19.96","20.67",,,,,,,,,,"0.2","S","18","NW","2","13.92","12.69","4.5","8.06","8.04",,,,,"2",,,,"1",,"0.889",,"0.662",,"0.116",,"1.75",,"0.758",,"0.207",,"14.7","11.5","50.6",,,,,"QD",,,,,,,,,,,,,,,,,,,,,,,,,,,"40.63315","-73.80498","Permanent"
